episode,turns,winner,x_reward,rolling_x_reward_50,epsilon,replay_size,avg_loss
1,90,O,-1.0,-1.0,1.0,90,0.0
2,70,O,-1.0,-1.0,0.9920168067226891,160,0.0036389302809821497
3,39,X,1.0,-0.3333333333333333,0.9840336134453782,199,0.0011312542942155583
4,54,O,-1.0,-0.5,0.9760504201680672,253,0.009348461743448515
5,84,O,-1.0,-0.6,0.9680672268907563,337,0.0017379294986312743
6,83,X,1.0,-0.3333333333333333,0.9600840336134454,420,0.004126719648126479
7,76,O,-1.0,-0.42857142857142855,0.9521008403361344,496,0.005100605300532679
8,36,O,-1.0,-0.5,0.9441176470588235,532,0.0020981986664183852
9,61,X,1.0,-0.3333333333333333,0.9361344537815126,593,0.0019668582879335114
10,56,O,-1.0,-0.4,0.9281512605042017,649,0.0048145471399558505
11,62,O,-1.0,-0.45454545454545453,0.9201680672268907,711,0.003325612080046877
12,36,O,-1.0,-0.5,0.9121848739495798,747,0.0015216076765985538
13,68,O,-1.0,-0.5384615384615384,0.9042016806722689,815,0.002746677162790815
14,52,O,-1.0,-0.5714285714285714,0.896218487394958,867,0.003237279085554362
15,65,X,1.0,-0.4666666666666667,0.888235294117647,932,0.002530104214271817
16,43,X,1.0,-0.375,0.8802521008403361,975,0.0009653869313106677
17,76,O,-1.0,-0.4117647058823529,0.8722689075630252,1051,0.0034701218101920524
18,59,X,1.0,-0.3333333333333333,0.8642857142857143,1110,0.0014460040083731193
19,55,X,1.0,-0.2631578947368421,0.8563025210084034,1165,0.00174336009592728
20,74,O,-1.0,-0.3,0.8483193277310924,1239,0.00383703043209263
21,94,O,-1.0,-0.3333333333333333,0.8403361344537815,1333,0.002442595127851088
22,70,O,-1.0,-0.36363636363636365,0.8323529411764705,1403,0.0023966168708284387
23,95,X,1.0,-0.30434782608695654,0.8243697478991596,1498,0.00313136616605334
24,107,X,1.0,-0.25,0.8163865546218487,1605,0.001645447821361796
25,53,X,1.0,-0.2,0.8084033613445378,1658,0.0026495777787684622
26,16,O,-1.0,-0.23076923076923078,0.8004201680672269,1674,0.0014627146010752767
27,38,O,-1.0,-0.25925925925925924,0.792436974789916,1712,0.0035663247472257353
28,53,X,1.0,-0.21428571428571427,0.784453781512605,1765,0.0025285576385904963
29,69,X,1.0,-0.1724137931034483,0.7764705882352941,1834,0.0024175484765125302
30,34,O,-1.0,-0.2,0.7684873949579832,1868,0.0037945673667469666
31,63,X,1.0,-0.16129032258064516,0.7605042016806722,1931,0.0023566316323547017
32,26,O,-1.0,-0.1875,0.7525210084033613,1957,0.0025018129952234
33,39,X,1.0,-0.15151515151515152,0.7445378151260504,1996,0.0027366614037115746
34,57,X,1.0,-0.11764705882352941,0.7365546218487395,2053,0.004475111758087255
35,62,O,-1.0,-0.14285714285714285,0.7285714285714286,2115,0.003380001340467002
36,48,O,-1.0,-0.16666666666666666,0.7205882352941176,2163,0.004143600962076259
37,39,X,1.0,-0.13513513513513514,0.7126050420168067,2202,0.004156770034639452
38,61,X,1.0,-0.10526315789473684,0.7046218487394957,2263,0.004914372316828822
39,23,X,1.0,-0.07692307692307693,0.6966386554621848,2286,0.006500054894865531
40,55,X,1.0,-0.05,0.688655462184874,2341,0.0039047515369020403
41,43,X,1.0,-0.024390243902439025,0.680672268907563,2384,0.0038626370965069985
42,65,X,1.0,0.0,0.6726890756302522,2449,0.006010584253817797
43,38,O,-1.0,-0.023255813953488372,0.6647058823529411,2487,0.0034945101483332876
44,58,O,-1.0,-0.045454545454545456,0.6567226890756303,2545,0.004028951561536062
45,34,O,-1.0,-0.06666666666666667,0.6487394957983192,2579,0.004950454438050442
46,60,O,-1.0,-0.08695652173913043,0.6407563025210085,2639,0.0032364574736372257
