episode,turns,winner,x_reward,rolling_x_reward_50,epsilon,replay_size,avg_loss
1,58,O,-1.0,-1.0,1.0,58,0.0027464224991423113
2,57,X,1.0,0.0,0.9672413793103448,115,0.01132281626454195
3,56,O,-1.0,-0.3333333333333333,0.9344827586206896,171,0.008254256005914482
4,64,O,-1.0,-0.5,0.9017241379310345,235,0.004957192038091307
5,50,O,-1.0,-0.6,0.8689655172413793,285,0.006189976384630427
6,56,O,-1.0,-0.6666666666666666,0.8362068965517242,341,0.008010047419312676
7,66,O,-1.0,-0.7142857142857143,0.803448275862069,407,0.01058378841756194
8,61,X,1.0,-0.5,0.7706896551724138,468,0.009419778873380578
9,56,O,-1.0,-0.5555555555555556,0.7379310344827587,524,0.005804940364864056
10,39,X,1.0,-0.4,0.7051724137931035,563,0.00822898978815199
11,69,X,1.0,-0.2727272727272727,0.6724137931034483,632,0.005351798624927313
12,18,O,-1.0,-0.3333333333333333,0.6396551724137931,650,0.0029925673136151293
13,38,O,-1.0,-0.38461538461538464,0.606896551724138,688,0.00690636366274894
14,44,O,-1.0,-0.42857142857142855,0.5741379310344827,732,0.009810588862323626
15,36,O,-1.0,-0.4666666666666667,0.5413793103448277,768,0.007195158331241045
16,22,O,-1.0,-0.5,0.5086206896551724,790,0.008889871808192269
17,43,X,1.0,-0.4117647058823529,0.4758620689655173,833,0.0060216418906050015
18,29,X,1.0,-0.3333333333333333,0.4431034482758621,862,0.005735211126538443
19,41,X,1.0,-0.2631578947368421,0.41034482758620694,903,0.006362597864098483
20,46,O,-1.0,-0.3,0.37758620689655176,949,0.005346214543628183
21,32,O,-1.0,-0.3333333333333333,0.3448275862068966,981,0.004922558282487444
22,50,O,-1.0,-0.36363636363636365,0.3120689655172414,1031,0.00790589076699689
23,42,O,-1.0,-0.391304347826087,0.2793103448275863,1073,0.008266823930344322
24,57,X,1.0,-0.3333333333333333,0.24655172413793103,1130,0.00817336882832215
25,66,O,-1.0,-0.36,0.21379310344827596,1196,0.01226252454657559
26,49,X,1.0,-0.3076923076923077,0.18103448275862077,1245,0.00877597425560638
27,35,X,1.0,-0.25925925925925924,0.1482758620689656,1280,0.010238164761436306
28,40,O,-1.0,-0.2857142857142857,0.11551724137931041,1320,0.008190354843100068
29,58,O,-1.0,-0.3103448275862069,0.08275862068965523,1378,0.007580609175232078
30,24,O,-1.0,-0.3333333333333333,0.050000000000000044,1402,0.005104148457273065
