episode,turns,winner,x_reward,rolling_x_reward_50,epsilon,replay_size,avg_loss
1,87,X,1.0,1.0,1.0,87,0.0019105708940644814
2,77,X,1.0,1.0,0.9672413793103448,164,0.0033324280162772783
3,60,O,-1.0,0.3333333333333333,0.9344827586206896,224,0.005760225559545991
4,45,X,1.0,0.5,0.9017241379310345,269,0.002684871341464006
5,56,O,-1.0,0.2,0.8689655172413793,325,0.0067904140929126045
6,56,O,-1.0,0.0,0.8362068965517242,381,0.009467339064160894
7,63,X,1.0,0.14285714285714285,0.803448275862069,444,0.005745595675848779
8,77,X,1.0,0.25,0.7706896551724138,521,0.005087948866134099
9,39,X,1.0,0.3333333333333333,0.7379310344827587,560,0.004613654432036221
10,40,O,-1.0,0.2,0.7051724137931035,600,0.0071661471665720455
11,72,O,-1.0,0.09090909090909091,0.6724137931034483,672,0.00541855072798272
12,84,O,-1.0,0.0,0.6396551724137931,756,0.004114273360236049
13,60,O,-1.0,-0.07692307692307693,0.606896551724138,816,0.00516506172134541
14,85,X,1.0,0.0,0.5741379310344827,901,0.0042417129943393824
15,61,X,1.0,0.06666666666666667,0.5413793103448277,962,0.004707089071849086
16,73,X,1.0,0.125,0.5086206896551724,1035,0.007935117920206809
17,75,X,1.0,0.17647058823529413,0.4758620689655173,1110,0.005623913913538369
18,74,O,-1.0,0.1111111111111111,0.4431034482758621,1184,0.003936315979493933
19,50,O,-1.0,0.05263157894736842,0.41034482758620694,1234,0.0017915468482533469
20,22,O,-1.0,0.0,0.37758620689655176,1256,0.004309883347807706
21,31,X,1.0,0.047619047619047616,0.3448275862068966,1287,0.002071903830285244
22,72,O,-1.0,0.0,0.3120689655172414,1359,0.005705861490544824
23,54,O,-1.0,-0.043478260869565216,0.2793103448275863,1413,0.008025232855288778
24,38,O,-1.0,-0.08333333333333333,0.24655172413793103,1451,0.0036345431029698567
25,35,X,1.0,-0.04,0.21379310344827596,1486,0.006798781337939934
26,43,X,1.0,0.0,0.18103448275862077,1529,0.007812551768607633
27,28,O,-1.0,-0.037037037037037035,0.1482758620689656,1557,0.0037961598406712127
28,58,O,-1.0,-0.07142857142857142,0.11551724137931041,1615,0.006307382051780787
29,80,O,-1.0,-0.10344827586206896,0.08275862068965523,1695,0.005108481640490936
30,8,O,-1.0,-0.13333333333333333,0.050000000000000044,1703,0.002718743766308762
