episode,update,turns,winner,x_reward,rolling_x_reward_50,loss,policy_loss,value_loss,entropy
1,1,43,X,1.0,1.0,0.16907155723311007,-0.03861947604445959,0.4991119704209268,4.186495438218117
2,1,51,X,1.0,1.0,0.16907155723311007,-0.03861947604445959,0.4991119704209268,4.186495438218117
3,1,90,O,-1.0,0.3333333333333333,0.16907155723311007,-0.03861947604445959,0.4991119704209268,4.186495438218117
4,1,42,O,-1.0,0.0,0.16907155723311007,-0.03861947604445959,0.4991119704209268,4.186495438218117
5,1,52,O,-1.0,-0.2,0.16907155723311007,-0.03861947604445959,0.4991119704209268,4.186495438218117
6,1,44,O,-1.0,-0.3333333333333333,0.16907155723311007,-0.03861947604445959,0.4991119704209268,4.186495438218117
7,1,78,O,-1.0,-0.42857142857142855,0.16907155723311007,-0.03861947604445959,0.4991119704209268,4.186495438218117
8,1,68,O,-1.0,-0.5,0.16907155723311007,-0.03861947604445959,0.4991119704209268,4.186495438218117
9,2,46,O,-1.0,-0.5555555555555556,0.17410161825163023,-0.06088713722835694,0.55439193546772,4.220720716885158
10,2,47,X,1.0,-0.4,0.17410161825163023,-0.06088713722835694,0.55439193546772,4.220720716885158
11,2,42,O,-1.0,-0.45454545454545453,0.17410161825163023,-0.06088713722835694,0.55439193546772,4.220720716885158
12,2,52,O,-1.0,-0.5,0.17410161825163023,-0.06088713722835694,0.55439193546772,4.220720716885158
13,2,29,X,1.0,-0.38461538461538464,0.17410161825163023,-0.06088713722835694,0.55439193546772,4.220720716885158
14,2,68,O,-1.0,-0.42857142857142855,0.17410161825163023,-0.06088713722835694,0.55439193546772,4.220720716885158
15,2,96,O,-1.0,-0.4666666666666667,0.17410161825163023,-0.06088713722835694,0.55439193546772,4.220720716885158
16,2,44,O,-1.0,-0.5,0.17410161825163023,-0.06088713722835694,0.55439193546772,4.220720716885158
17,3,45,X,1.0,-0.4117647058823529,0.3131624214584008,-0.04273273894796148,0.7951965993270278,4.1703141033649445
18,3,27,X,1.0,-0.3333333333333333,0.3131624214584008,-0.04273273894796148,0.7951965993270278,4.1703141033649445
19,3,75,X,1.0,-0.2631578947368421,0.3131624214584008,-0.04273273894796148,0.7951965993270278,4.1703141033649445
20,3,77,X,1.0,-0.2,0.3131624214584008,-0.04273273894796148,0.7951965993270278,4.1703141033649445
21,3,79,X,1.0,-0.14285714285714285,0.3131624214584008,-0.04273273894796148,0.7951965993270278,4.1703141033649445
22,3,77,X,1.0,-0.09090909090909091,0.3131624214584008,-0.04273273894796148,0.7951965993270278,4.1703141033649445
23,3,46,O,-1.0,-0.13043478260869565,0.3131624214584008,-0.04273273894796148,0.7951965993270278,4.1703141033649445
24,3,71,X,1.0,-0.08333333333333333,0.3131624214584008,-0.04273273894796148,0.7951965993270278,4.1703141033649445
25,4,60,O,-1.0,-0.12,0.19045985862612724,-0.04445057408884168,0.5534268282353878,4.180298277309963
26,4,39,X,1.0,-0.07692307692307693,0.19045985862612724,-0.04445057408884168,0.5534268282353878,4.180298277309963
27,4,78,O,-1.0,-0.1111111111111111,0.19045985862612724,-0.04445057408884168,0.5534268282353878,4.180298277309963
28,4,67,X,1.0,-0.07142857142857142,0.19045985862612724,-0.04445057408884168,0.5534268282353878,4.180298277309963
29,4,67,X,1.0,-0.034482758620689655,0.19045985862612724,-0.04445057408884168,0.5534268282353878,4.180298277309963
30,4,40,O,-1.0,-0.06666666666666667,0.19045985862612724,-0.04445057408884168,0.5534268282353878,4.180298277309963
