episode,update,turns,winner,x_reward,rolling_x_reward_50,loss,policy_loss,value_loss,entropy
1,1,100,O,-1.0,-1.0,0.0644917157996032,-0.061425819682578243,0.33410053741600776,4.11327342192332
2,1,59,X,1.0,0.0,0.0644917157996032,-0.061425819682578243,0.33410053741600776,4.11327342192332
3,1,49,X,1.0,0.3333333333333333,0.0644917157996032,-0.061425819682578243,0.33410053741600776,4.11327342192332
4,1,50,O,-1.0,0.0,0.0644917157996032,-0.061425819682578243,0.33410053741600776,4.11327342192332
5,1,102,O,-1.0,-0.2,0.0644917157996032,-0.061425819682578243,0.33410053741600776,4.11327342192332
6,2,76,O,-1.0,-0.3333333333333333,0.15943335133294265,-0.04087680634887268,0.4829415587087472,4.1160621802012125
7,2,93,X,1.0,-0.14285714285714285,0.15943335133294265,-0.04087680634887268,0.4829415587087472,4.1160621802012125
8,2,20,O,-1.0,-0.25,0.15943335133294265,-0.04087680634887268,0.4829415587087472,4.1160621802012125
9,2,75,X,1.0,-0.1111111111111111,0.15943335133294265,-0.04087680634887268,0.4829415587087472,4.1160621802012125
10,2,53,X,1.0,0.0,0.15943335133294265,-0.04087680634887268,0.4829415587087472,4.1160621802012125
11,3,60,O,-1.0,-0.09090909090909091,0.16298701067765553,-0.03280578975876172,0.4749215309818586,4.166796286900838
12,3,70,O,-1.0,-0.16666666666666666,0.16298701067765553,-0.03280578975876172,0.4749215309818586,4.166796286900838
13,3,52,O,-1.0,-0.23076923076923078,0.16298701067765553,-0.03280578975876172,0.4749215309818586,4.166796286900838
14,3,67,X,1.0,-0.14285714285714285,0.16298701067765553,-0.03280578975876172,0.4749215309818586,4.166796286900838
15,3,71,X,1.0,-0.06666666666666667,0.16298701067765553,-0.03280578975876172,0.4749215309818586,4.166796286900838
16,4,85,X,1.0,0.0,0.1295827973840965,-0.03639638134174877,0.41431018792920643,4.117591208881802
17,4,63,X,1.0,0.058823529411764705,0.1295827973840965,-0.03639638134174877,0.41431018792920643,4.117591208881802
18,4,98,O,-1.0,0.0,0.1295827973840965,-0.03639638134174877,0.41431018792920643,4.117591208881802
19,4,69,X,1.0,0.05263157894736842,0.1295827973840965,-0.03639638134174877,0.41431018792920643,4.117591208881802
20,4,41,X,1.0,0.1,0.1295827973840965,-0.03639638134174877,0.41431018792920643,4.117591208881802
21,5,72,O,-1.0,0.047619047619047616,0.17536423417429128,-0.034402930488189064,0.5013389160235723,4.090229654312134
22,5,30,O,-1.0,0.0,0.17536423417429128,-0.034402930488189064,0.5013389160235723,4.090229654312134
23,5,84,O,-1.0,-0.043478260869565216,0.17536423417429128,-0.034402930488189064,0.5013389160235723,4.090229654312134
24,5,44,O,-1.0,-0.08333333333333333,0.17536423417429128,-0.034402930488189064,0.5013389160235723,4.090229654312134
25,5,87,X,1.0,-0.04,0.17536423417429128,-0.034402930488189064,0.5013389160235723,4.090229654312134
26,6,75,X,1.0,0.0,0.08398232360680898,-0.03958559986203909,0.3296909466385841,4.127755260467529
27,6,58,O,-1.0,-0.037037037037037035,0.08398232360680898,-0.03958559986203909,0.3296909466385841,4.127755260467529
28,6,68,O,-1.0,-0.07142857142857142,0.08398232360680898,-0.03958559986203909,0.3296909466385841,4.127755260467529
29,6,35,X,1.0,-0.034482758620689655,0.08398232360680898,-0.03958559986203909,0.3296909466385841,4.127755260467529
30,6,79,X,1.0,0.0,0.08398232360680898,-0.03958559986203909,0.3296909466385841,4.127755260467529
