episode,turns,winner,x_reward,rolling_x_reward_50,epsilon,states
1,85,X,1.0,1.0,0.3,81
2,66,O,-1.0,0.0,0.3,142
3,48,O,-1.0,-0.3333333333333333,0.3,186
4,83,X,1.0,0.0,0.3,263
5,69,X,1.0,0.2,0.3,328
6,60,O,-1.0,0.0,0.3,387
7,68,O,-1.0,-0.14285714285714285,0.3,451
8,79,X,1.0,0.0,0.3,522
9,78,O,-1.0,-0.1111111111111111,0.3,593
10,21,X,1.0,0.0,0.3,613
11,60,O,-1.0,-0.09090909090909091,0.3,671
12,50,O,-1.0,-0.16666666666666666,0.3,717
13,51,X,1.0,-0.07692307692307693,0.3,767
14,51,X,1.0,0.0,0.3,817
15,75,X,1.0,0.06666666666666667,0.3,884
16,75,X,1.0,0.125,0.3,953
17,72,O,-1.0,0.058823529411764705,0.3,1019
18,42,O,-1.0,0.0,0.3,1058
19,60,O,-1.0,-0.05263157894736842,0.3,1114
20,105,X,1.0,0.0,0.3,1211
21,52,O,-1.0,-0.047619047619047616,0.3,1260
22,57,X,1.0,0.0,0.3,1315
23,58,O,-1.0,-0.043478260869565216,0.3,1372
24,78,O,-1.0,-0.08333333333333333,0.3,1445
25,33,X,1.0,-0.04,0.3,1477
26,65,X,1.0,0.0,0.3,1540
27,42,O,-1.0,-0.037037037037037035,0.3,1578
28,102,O,-1.0,-0.07142857142857142,0.3,1674
29,68,O,-1.0,-0.10344827586206896,0.3,1736
30,77,X,1.0,-0.06666666666666667,0.3,1807
31,47,X,1.0,-0.03225806451612903,0.3,1850
32,100,O,-1.0,-0.0625,0.3,1941
33,36,O,-1.0,-0.09090909090909091,0.3,1974
34,61,X,1.0,-0.058823529411764705,0.3,2030
35,34,O,-1.0,-0.08571428571428572,0.3,2061
36,74,O,-1.0,-0.1111111111111111,0.3,2129
37,77,X,1.0,-0.08108108108108109,0.3,2201
38,63,X,1.0,-0.05263157894736842,0.3,2259
39,87,X,1.0,-0.02564102564102564,0.3,2340
40,78,O,-1.0,-0.05,0.3,2411
41,47,X,1.0,-0.024390243902439025,0.3,2455
42,45,X,1.0,0.0,0.3,2498
43,73,X,1.0,0.023255813953488372,0.3,2566
44,76,O,-1.0,0.0,0.3,2637
45,68,O,-1.0,-0.022222222222222223,0.3,2701
46,64,O,-1.0,-0.043478260869565216,0.3,2761
47,85,X,1.0,-0.02127659574468085,0.3,2839
48,96,O,-1.0,-0.041666666666666664,0.3,2927
49,75,X,1.0,-0.02040816326530612,0.3,2997
50,80,O,-1.0,-0.04,0.3,3071
51,89,X,1.0,-0.04,0.3,3154
52,82,O,-1.0,-0.04,0.3,3232
53,54,O,-1.0,-0.04,0.3,3283
54,85,X,1.0,-0.04,0.3,3356
55,50,O,-1.0,-0.08,0.3,3405
56,70,O,-1.0,-0.08,0.3,3472
57,31,X,1.0,-0.04,0.3,3502
58,58,O,-1.0,-0.08,0.3,3557
59,77,X,1.0,-0.04,0.3,3629
60,57,X,1.0,-0.04,0.3,3681
