episode,update,turns,winner,x_reward,rolling_x_reward_50,loss,policy_loss,value_loss,entropy
1,1,33,X,1.0,1.0,0.6436494079728922,-0.03129805950447917,1.385406732559204,1.7755885024865468
2,1,12,O,-1.0,0.0,0.6436494079728922,-0.03129805950447917,1.385406732559204,1.7755885024865468
3,1,11,X,1.0,0.3333333333333333,0.6436494079728922,-0.03129805950447917,1.385406732559204,1.7755885024865468
4,1,13,X,1.0,0.5,0.6436494079728922,-0.03129805950447917,1.385406732559204,1.7755885024865468
5,1,14,O,-1.0,0.2,0.6436494079728922,-0.03129805950447917,1.385406732559204,1.7755885024865468
6,1,49,X,1.0,0.3333333333333333,0.6436494079728922,-0.03129805950447917,1.385406732559204,1.7755885024865468
7,1,31,X,1.0,0.42857142857142855,0.6436494079728922,-0.03129805950447917,1.385406732559204,1.7755885024865468
8,1,15,X,1.0,0.5,0.6436494079728922,-0.03129805950447917,1.385406732559204,1.7755885024865468
9,2,41,X,1.0,0.5555555555555556,0.5695635117590427,-0.04245173465460539,1.2648736089468002,2.0421564181645713
10,2,28,O,-1.0,0.4,0.5695635117590427,-0.04245173465460539,1.2648736089468002,2.0421564181645713
11,2,17,X,1.0,0.45454545454545453,0.5695635117590427,-0.04245173465460539,1.2648736089468002,2.0421564181645713
12,2,9,X,1.0,0.5,0.5695635117590427,-0.04245173465460539,1.2648736089468002,2.0421564181645713
13,2,21,X,1.0,0.5384615384615384,0.5695635117590427,-0.04245173465460539,1.2648736089468002,2.0421564181645713
14,2,13,X,1.0,0.5714285714285714,0.5695635117590427,-0.04245173465460539,1.2648736089468002,2.0421564181645713
15,2,15,X,1.0,0.6,0.5695635117590427,-0.04245173465460539,1.2648736089468002,2.0421564181645713
16,2,11,X,1.0,0.625,0.5695635117590427,-0.04245173465460539,1.2648736089468002,2.0421564181645713
17,3,38,O,-1.0,0.5294117647058824,0.23768718098290265,-0.051128653227351606,0.6149393226951361,1.865382693707943
18,3,31,X,1.0,0.5555555555555556,0.23768718098290265,-0.051128653227351606,0.6149393226951361,1.865382693707943
19,3,13,X,1.0,0.5789473684210527,0.23768718098290265,-0.051128653227351606,0.6149393226951361,1.865382693707943
20,3,47,X,1.0,0.6,0.23768718098290265,-0.051128653227351606,0.6149393226951361,1.865382693707943
21,3,7,X,1.0,0.6190476190476191,0.23768718098290265,-0.051128653227351606,0.6149393226951361,1.865382693707943
22,3,41,X,1.0,0.6363636363636364,0.23768718098290265,-0.051128653227351606,0.6149393226951361,1.865382693707943
23,3,42,O,-1.0,0.5652173913043478,0.23768718098290265,-0.051128653227351606,0.6149393226951361,1.865382693707943
24,3,22,O,-1.0,0.5,0.23768718098290265,-0.051128653227351606,0.6149393226951361,1.865382693707943
25,4,14,O,-1.0,0.44,0.44288910428682965,-0.05913834863652786,1.0402369499206543,1.8091013133525848
26,4,11,X,1.0,0.46153846153846156,0.44288910428682965,-0.05913834863652786,1.0402369499206543,1.8091013133525848
27,4,35,X,1.0,0.48148148148148145,0.44288910428682965,-0.05913834863652786,1.0402369499206543,1.8091013133525848
28,4,22,O,-1.0,0.42857142857142855,0.44288910428682965,-0.05913834863652786,1.0402369499206543,1.8091013133525848
29,4,31,X,1.0,0.4482758620689655,0.44288910428682965,-0.05913834863652786,1.0402369499206543,1.8091013133525848
30,4,27,X,1.0,0.4666666666666667,0.44288910428682965,-0.05913834863652786,1.0402369499206543,1.8091013133525848
31,4,26,O,-1.0,0.41935483870967744,0.44288910428682965,-0.05913834863652786,1.0402369499206543,1.8091013133525848
32,4,10,O,-1.0,0.375,0.44288910428682965,-0.05913834863652786,1.0402369499206543,1.8091013133525848
33,5,24,O,-1.0,0.3333333333333333,0.2401028109403948,-0.05124658066779375,0.6235708718498548,2.0436048209667206
34,5,20,O,-1.0,0.29411764705882354,0.2401028109403948,-0.05124658066779375,0.6235708718498548,2.0436048209667206
35,5,37,X,1.0,0.3142857142857143,0.2401028109403948,-0.05124658066779375,0.6235708718498548,2.0436048209667206
36,5,39,X,1.0,0.3333333333333333,0.2401028109403948,-0.05124658066779375,0.6235708718498548,2.0436048209667206
37,5,10,O,-1.0,0.2972972972972973,0.2401028109403948,-0.05124658066779375,0.6235708718498548,2.0436048209667206
38,5,25,X,1.0,0.3157894736842105,0.2401028109403948,-0.05124658066779375,0.6235708718498548,2.0436048209667206
39,5,13,X,1.0,0.3333333333333333,0.2401028109403948,-0.05124658066779375,0.6235708718498548,2.0436048209667206
40,5,14,O,-1.0,0.3,0.2401028109403948,-0.05124658066779375,0.6235708718498548,2.0436048209667206
41,6,25,X,1.0,0.3170731707317073,0.36008485592901707,-0.07446987042203546,0.9040047228336334,1.7447643131017685
42,6,9,X,1.0,0.3333333333333333,0.36008485592901707,-0.07446987042203546,0.9040047228336334,1.7447643131017685
43,6,23,X,1.0,0.3488372093023256,0.36008485592901707,-0.07446987042203546,0.9040047228336334,1.7447643131017685
44,6,11,X,1.0,0.36363636363636365,0.36008485592901707,-0.07446987042203546,0.9040047228336334,1.7447643131017685
45,6,9,X,1.0,0.37777777777777777,0.36008485592901707,-0.07446987042203546,0.9040047228336334,1.7447643131017685
46,6,7,X,1.0,0.391304347826087,0.36008485592901707,-0.07446987042203546,0.9040047228336334,1.7447643131017685
47,6,12,O,-1.0,0.3617021276595745,0.36008485592901707,-0.07446987042203546,0.9040047228336334,1.7447643131017685
48,6,14,O,-1.0,0.3333333333333333,0.36008485592901707,-0.07446987042203546,0.9040047228336334,1.7447643131017685
49,7,22,O,-1.0,0.30612244897959184,0.5446492557724317,-0.01686099637299776,1.1622106929620106,1.9595096210638683
50,7,24,O,-1.0,0.28,0.5446492557724317,-0.01686099637299776,1.1622106929620106,1.9595096210638683
51,7,25,X,1.0,0.28,0.5446492557724317,-0.01686099637299776,1.1622106929620106,1.9595096210638683
52,7,12,O,-1.0,0.28,0.5446492557724317,-0.01686099637299776,1.1622106929620106,1.9595096210638683
53,7,16,O,-1.0,0.24,0.5446492557724317,-0.01686099637299776,1.1622106929620106,1.9595096210638683
54,7,12,O,-1.0,0.2,0.5446492557724317,-0.01686099637299776,1.1622106929620106,1.9595096210638683
55,7,24,O,-1.0,0.2,0.5446492557724317,-0.01686099637299776,1.1622106929620106,1.9595096210638683
56,7,9,X,1.0,0.2,0.5446492557724317,-0.01686099637299776,1.1622106929620106,1.9595096210638683
57,8,16,O,-1.0,0.16,0.500607430934906,-0.04190832009771839,1.1248765736818314,1.9922540187835693
58,8,23,X,1.0,0.16,0.500607430934906,-0.04190832009771839,1.1248765736818314,1.9922540187835693
59,8,16,O,-1.0,0.12,0.500607430934906,-0.04190832009771839,1.1248765736818314,1.9922540187835693
